"number","date","name","vertical","sub_vertical","location","investor_name","investment_type","usd","remarks"
1966,"23/7/2015","Quikr","Online & Mobile classified listings",NA,"Mumbai","AB Kinnevik, Falcon Edge Capital, Coatue Management","Private Equity",6e+07,"Late Stage"
1967,"23/7/2015","JetSetGo","Private Jet/ Helicopter Marketplace",NA,"New Delhi","YourWeCan Ventures","Seed Funding",NA,NA
1968,"24/7/2015","BroEx","Real Estate Broker network App",NA,"Gurgaon","Lightspeed India","Private Equity",1e+06,"Bridge round"
1969,"25/7/2015","Shopatplaces","Ethnic/ Traditional Fashion Store",NA,"New Delhi","Indian Angel Network","Seed Funding",NA,NA
1970,"25/7/2015","CredR","Used Bikes Marketplace",NA,"Mumbai","Fidelity Growth Partners","Private Equity",1.5e+07,"Series A"
1971,"27/7/2015","ManageMySpa","Spa & Salon Management Software",NA,"Hyderabad","Accel Partners","Private Equity",6e+06,"Series A"
1972,"27/7/2015","Townrush","B2B logistics delivery platform",NA,"Bangalore","Lightspeed Venture Partners","Seed Funding",NA,NA
1973,"27/7/2015","Locus","Logistics Automation Platform",NA,"Bangalore","growX ventures,  Manish Singhal","Seed Funding",NA,NA
1974,"27/7/2015","Bevy","Online Hiring Platform",NA,"Bangalore","Varun Agarwal & Others","Seed Funding",NA,NA
1975,"28/7/2015","Pepperfry","Online home décor marketplace",NA,"Mumbai","Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.","Private Equity",1e+08,"Series D"
1976,"28/7/2015","Flipkart.com","Online Marketplace",NA,"Bangalore","Steadview Capital and existing investors","Private Equity",7e+08,"Late Stage, 10th Round More here"
1977,"28/7/2015","Opinio","Hyperlocal food & grocery store",NA,"Bangalore","Accel Partners, Traxcn Labs & Others","Seed Funding",1300000,NA
1978,"28/7/2015","Zoctr","Health-Tech platform",NA,"Mumbai","Sandeep Parwal, Krishan Gupta & Others","Seed Funding",1e+06,NA
1979,"29/7/2015","Zimmber","Hyperlocal Handyman Services",NA,"Mumbai","IDG Ventures India, Omidyar Network, Sherpalo Ventures,  Mohandas Pai","Private Equity",2e+06,"Series A"
1980,"29/7/2015","trueHb","Medical Tech Instruments",NA,"New Delhi","Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others","Seed Funding",2400000,NA
1981,"29/7/2015","Zovi.com / Little App","Hyperlocal Deals Marketplace",NA,"Bangalore","Paytm, SAIF Partners,  Tiger Global Management & others","Private Equity",5e+07,"Series A"
1982,"29/7/2015","Swajal","Innovative Water Solutions",NA,"Gurgaon","Abhishek Gupta","Private Equity",1200000,"Series A"
1983,"30/7/2015","Pipa Bella","Online Jewelry Store",NA,"Mumbai","LionRock Capital","Private Equity",6e+05,"Pre-Series A"
1984,"30/7/2015","Pragmatix","Business intelligence & Analytics",NA,"Mumbai","SIDBI Venture Capital Ltd","Private Equity",2400000,"Series A"
1985,"30/7/2015","Droom.in","Used Vehicle Marketplace",NA,"New Delhi","Lightbox Ventures, Beenos","Private Equity",1.6e+07,"Series A"
1986,"30/7/2015","MadRat Games","Educational Board Games",NA,"Bangalore","Kunal Bahl, Rohit Bansal","Seed Funding",168000,NA
1987,"30/7/2015","Noodle Play","Chinese food delivery",NA,"Mumbai","Elliot Stechman, Gautam Sinha, Ambarish Ray","Seed Funding",168000,NA
1988,"30/7/2015","Wassup","On-Demand Laundry & Dry cleaning App",NA,"Chennai","B S Nagesh","Private Equity",NA,"Pre-Series A"
1989,"30/7/2015","Cartisan","On-Demand Car services App",NA,"Bangalore","YouWeCan Ventures,  Aprameya Radhakrishna","Seed Funding",NA,NA
1990,"31/7/2015","LazyLad","Hyperlocal Grocery App",NA,"Gurgaon","Jai Choi, Kiyohiro Sugashita, Hirokazu","Private Equity",5e+05,"pre-Series A"
1991,"31/7/2015","TripFactory","Online Curated Holiday package bookings",NA,"Bangalore","Aarin Capital Partners,","Private Equity",NA,"Series A"
1992,"31/7/2015","Prothom","Hasbro Toy Manufacturer",NA,"Pune","Oliphabs Capital","Private Equity",2e+06,"Series A"
1993,"31/7/2015","Bona Vita","Travel Tech",NA,"Gurgaon","MakeMyTrip","Private Equity",5e+06,"Strategic Investment"
1994,"01/06/2015","Vyomo","Beauty and Wellness Platform",NA,"New Delhi","Aprameya Radhakrishna","Seed Funding",NA,NA
1995,"01/06/2015","Veeba Foods","Healthy Food Manufacturer",NA,"New Delhi","DSG Consumer Partners, Saama Capital.","Private Equity",6e+06,"Series B"
1996,"01/06/2015","Truebil","Used Car Marketplace",NA,"Mumbai","Kae Capital, Anupam Mittal","Seed Funding",5e+05,NA
1997,"01/06/2015","Meritnation","Online Learning Platform",NA,"New Delhi","InfoEdge","Private Equity",4e+06,"Series C"
1998,"01/06/2015","Eattreatonline","Healthy Food Online Community",NA,"New Delhi","Group of 15 Angel Investors","Seed Funding",350000,NA
1999,"01/06/2015","CredR","Used two-wheeler Marketplace",NA,"Mumbai","GrowthStory","Seed Funding",NA,NA
2000,"01/06/2015","Glamrs","Online Fashion Video Portal",NA,"Mumbai","Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri","Private Equity",1e+06,"Pre-Series A"
2001,"01/06/2015","Proviera","Probiotic Technology Products Manufacturer",NA,"Chennai","Infuse Ventures","Private Equity",550000,NA
2002,"01/06/2015","Arth DesignBuild","Architectural Design & Consulting",NA,"Hyderabad","Srinivas Tirupati","Seed Funding",5e+05,NA
2003,"02/06/2015","Saama","Big Data & Analytics Services",NA,"Pune / US","Carrick Capital Partners","Private Equity",3.5e+07,"Series A"
2004,"02/06/2015","AllIzHealth","Preventive Healthcare Services",NA,"Pune","Mumbai Angels & Other angel investors","Seed Funding",350000,NA
2005,"02/06/2015","Karma Healthcare","Tech-enabled Rural Healthcare Services",NA,"Udaipur","Ennovent Impact Investment Holding","Private Equity",NA,"Series A"
2006,"03/06/2015","Entropy Innovations","Engineering Innovations",NA,"Mumbai","Mark Mobius & 9 Other Angel investors","Seed Funding",NA,NA
2007,"03/06/2015","Propstack","Real Estate Intelligence Platform",NA,"Mumbai","DMG Information","Private Equity",3e+06,"Series A"
2008,"03/06/2015","MyTaxiIndia","Online Car Rental Affiliates",NA,"New Delhi","Green House Ventures","Seed Funding",1e+05,NA
2009,"03/06/2015","Arkin Net","Data Center Software platform",NA,"Pune / US","Nexus Venture Partners","Private Equity",1.5e+07,"Series B"
2010,"03/06/2015","Little Black Book Delhi","Online City & Lifestyle Guide",NA,"New Delhi","Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra","Seed Funding",150000,NA
2011,"03/06/2015","MyPoolin","P2P Payments platform",NA,"New Delhi","Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,  Arjun Malhotra, Gautam Gandhi","Seed Funding",NA,NA
2012,"03/06/2015","iCustomadeit","Bespoke Merchandize Marketplace",NA,"Pune","Virendra Shahney, Dr Paresh Doshi","Seed Funding",250000,NA
2013,"03/06/2015","KAARYAH","Women Lifestyle Marketplace",NA,"Gurgaon","Ratan Tata","Seed Funding",NA,NA
2014,"04/06/2015","Ecom Express","Logistics Solution Provider",NA,"New Delhi","Warburg Pincus","Private Equity",1.37e+08,"Series C"
2015,"04/06/2015","Vidooly","Video Intelligence Platform",NA,"Noida","Bessemer Venture Partners","Private Equity",1e+06,"Pre-Series A"
2016,"04/06/2015","Zopper","Hyperlocal Shopping App",NA,"Mumbai","Tiger Global,  Nirvana Ventures Advisors","Private Equity",2e+07,"Series C"
2017,"04/06/2015","Flipkart","eCommerce platform",NA,"Bangalore","Morgan Stanley","Private Equity",5e+07,"Late Stage"
2018,"05/06/2015","kWatt Solutions","Renewable energy solutions",NA,"Mumbai",NA,"Seed Funding",5e+05,NA
2019,"05/06/2015","Medwell Ventures","HealthcareService provider",NA,"Bangalore","Fidelity Growth Partners, Fidelity Biosciences","Private Equity",1e+07,"Series A"
2020,"05/06/2015","Jugnoo","Auto Rickshaw Based Services",NA,"Chandigarh","Snow Leopard, Paytm","Private Equity",5e+06,"Series A"
2021,"08/06/2015","PosterGully","Artist / Designer Marketplace",NA,"New Delhi","Natarajan Iyer,Rajesh Sawhney,  & other Angel investors.","Seed Funding",NA,NA
2022,"08/06/2015","Applied Solar Technologies","Off-grid Solar Power",NA,"Mumbai","Future Fund,Bessemer Venture, Capricorn Investment and IFC","Private Equity",4e+07,"Series B"
2023,"09/06/2015","Clovia","Private Label lingerie Ecommerce",NA,"New Delhi","IvyCap Ventures","Private Equity",5e+06,"Series A"
2024,"09/06/2015","Swiggy","Online Food Ordering",NA,"Bangalore","Norwest Venture Partners, SAIF Partners, Accel Partners","Private Equity",16500000,"Series B"
2025,"09/06/2015","PayMango","Mobile Commerce Platform",NA,"Gurgaon","Group of Angel Investors","Seed Funding",234000,NA
2026,"09/06/2015","Printland","Online Printing Services",NA,"New Delhi","SIDBI Venture Capital Ltd","Private Equity",NA,"Series A"
2027,"09/06/2015","Teritree","Digital Marketing Services",NA,"Bangalore","KCL","Seed Funding",140000,NA
2028,"10/06/2015","Guiddoo","Travel Guide Mobile App",NA,"Mumbai","Pawan Borle, SVP Fly Dubai & Others","Seed Funding",NA,NA
2029,"10/06/2015","Voonik","Fashion Ecommerce store",NA,"Bangalore","Sequoia Capital, Seedfund","Private Equity",5e+06,"Series A"
2030,"11/06/2015","AdStringO","Mobile Compression Software",NA,"Mumbai","Arihant Patni, Vishal Khare,  Viswanath Ramachandran","Seed Funding",350000,NA
2031,"11/06/2015","Faircent.com","Peer to Peer Lending platform",NA,"Gurgaon","M&S Partners Pte. Ltd","Seed Funding",250000,"Pre-Series A"
2032,"12/06/2015","La Renon","Global Healthcare products",NA,"Ahmedabad","Sequoia Capital","Private Equity",1.6e+07,"Series A"
2033,"15/06/2015","Homelane","Home Furnishing Solutions",NA,"Bangalore","Sequoia Capital","Private Equity",5e+07,"Series B"
2034,"15/06/2015","iSTAR","Skill Training & Placement Platform",NA,"Bangalore","Unitus Seed Fund","Private Equity",NA,"Series A"
2035,"15/06/2015","Shippr","Intra-City Logistics service",NA,"Bangalore","i2india Pvt Ltd","Seed Funding",5e+05,NA
2036,"16/06/2015","FoodAbhi","online tiffin service aggregator",NA,"Mumbai","Group of angel investors","Seed Funding",NA,NA
2037,"16/06/2015","Karma Recycling","Electronic Goods recycling service",NA,"Delhi","Infuse Ventures, Low Carbon Enterprise Fund","Private Equity",NA,"Series A"
2038,"16/06/2015","CouponRaja","Online Coupon & comparison platform",NA,"Mumbai","Mahesh Pratapneni, Pallab Chatterjee & others","Seed Funding",5e+05,NA
2039,"17/06/2015","Babychakra","Parents & Kids Online platform",NA,"Mumbai","Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath","Seed Funding",NA,NA
2040,"17/06/2015","Jiffstore","Online Grocery platform",NA,"Bangalore","Unitus Seed Fund, Times Internet","Seed Funding",NA,"additional funding round"
2041,"17/06/2015","MyDentist","Dental Clinic chain",NA,"Mumbai","LGT Group, Asian Healthcare fund, Seedfund","Private Equity",8200000,"Series C"
2042,"18/06/2015","Moovo","On-Demand Logistics Service",NA,"New Delhi","YouWeCan Ventures","Seed Funding",NA,NA
2043,"18/06/2015","Fracktal Works","3D Printer Manufacturer",NA,"Bangalore","Neoteric Infomatique Limited","Private Equity",3e+06,"Series A"
2044,"18/06/2015","Hansa Customer Equity","IT / Customer Engagement Consulting",NA,"Mumbai","ASK Pravi","Private Equity",5e+06,"Series A"
2045,"18/06/2015","HealthifyMe","Health & Fitness App",NA,"Bangalore","Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani","Private Equity",NA,"Series A"
2046,"18/06/2015","CAKART.in","Online Education Marketplace",NA,"Bangalore","Sunil Maheshwari & group of investors","Seed Funding",NA,NA
2047,"19/06/2015","Housejoy","Home services marketplace",NA,"Bangalore","Matrix Partners","Private Equity",4e+06,"Series A"
2048,"19/06/2015","FundsIndia.com","Financial Services Platform",NA,"Chennai","Faering Capital, Foundation Capital, Inventus Capital Partners","Private Equity",1.1e+07,"Series C"
2049,"20/06/2015","Cupick","Social Network for Artists",NA,"Bangalore","Group of Angel Investors from US/India","Seed Funding",120000,NA
2050,"20/06/2015","Tracxn","Startup funding platform",NA,"Bangalore","Sachin Bansal, Bunny Bansal & other investors","Private Equity",1e+07,"Series A"
2051,"21/06/2015","Holachef","Food Delivery Platform",NA,"Mumbai","Kalaari Capital, India Quotient","Private Equity",3100000,"Series A"
2052,"22/06/2015","belong","Data Driven recruitment recommendation",NA,"Bangalore","Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy","Private Equity",5e+06,"Series A"
2053,"22/06/2015","Ixigo","Travel Search Engine",NA,"Gurgaon","Micromax Informatics","Private Equity",NA,"Strategic Investment"
2054,"22/06/2015","SkillAngels","Brain Games Platform",NA,"Chennai","Sprout Angels LLP","Seed Funding",NA,NA
2055,"22/06/2015","Vidgyor","Video Advertisement Platform",NA,"Bangalore","AngelPrime","Seed Funding",5e+05,NA
2056,"22/06/2015","Banihal","Algorithmic Match Making Platform",NA,"New Delhi / California","Dr David Cheriton","Seed Funding",NA,NA
2057,"23/06/2015","Goodservice","Mobile Chat based concierge service",NA,"New Delhi","Sequoia Capital","Private Equity",1600000,"Series A"
2058,"23/06/2015","Treebo","Online Budget Hotel Booking Service",NA,"Bangalore","Matrix Partners India, SAIF Partners","Private Equity",6e+06,"Series A"
2059,"23/06/2015","EduKart","Online education marketplace",NA,"New Delhi","Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni","Private Equity",1e+06,"Series A"
2060,"23/06/2015","Healthians.com","Preventive healthcare services",NA,"Hyderabad","YouWeCan Ventures","Seed Funding",NA,NA
2061,"24/06/2015","LabInApp","Science Learning App",NA,"Bangalore","Unitus Seed Fund","Seed Funding",NA,NA
2062,"24/06/2015","Syona Cosmetics","Beauty and Wellness platform",NA,"Chennai","Chennai Angels","Seed Funding",NA,NA
2063,"24/06/2015","Sigrid Education","Online Education Platform",NA,"Noida","Oliphans Capital","Seed Funding",NA,NA
2064,"24/06/2015","Indix","SaaS product intelligence platform",NA,NA,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures","Private Equity",1.5e+07,"Series C"
2065,"24/06/2015","The Porter","Logistics Tech",NA,"Mumbai","Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon","Private Equity",5500000,"Series A"
2066,"24/06/2015","Retention.ai","App Analytics platform",NA,"Bangalore","Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others","Seed Funding",5e+05,NA
2067,"25/06/2015","Fusion Microfinance","Micro Finance Platform",NA,"New Delhi","Development finance institution Belgian Investment Company, Oikocredit","Private Equity",8600000,"Series C"
2068,"25/06/2015","Zinka","Freight logistics platform",NA,"Bangalore","Accel Partners, Flipkart","Private Equity",6e+06,"Series A"
2069,"26/06/2015","CreditMantri","Credit Management Services",NA,"Chennai","IDG Ventures India, Elevar Equity, Accion Venture Lab","Private Equity",2500000,"Series A"
2070,"26/06/2015","GetMyPeon","Hyperlocal Handyman Services",NA,"Mumbai","Undisclosed investors","Seed Funding",250000,NA
2071,"29/06/2015","UrbanClap","Hyperlocal services marketplace",NA,"New Delhi","SAIF Partners,  Accel Partners","Private Equity",1e+07,"Series A"
2072,"29/06/2015","StayGlad","Beauty services Mobile Marketplace",NA,"Bangalore","Tracxn Labs, Sahil Barua","Seed Funding",NA,NA
2073,"29/06/2015","AdWyze","Marketing / Advertising Automation platform",NA,"Bangalore","Mape Advisory","Seed Funding",1e+06,NA
2074,"29/06/2015","Zimmber","Hyperlocal Handyman Services",NA,"Mumbai","Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar","Seed Funding",4e+05,NA
2075,"30/06/2015","Buttercups","Online Lingerie platform",NA,"Bangalore","Kanwaljit Singh, Angie Mahtaney, Manoj Varghese","Seed Funding",NA,NA
2076,"30/06/2015","RailYatri","Railways Information Mobile app",NA,"Bangalore","Helion Ventures, Omidiyar Network, Blume Ventures and Ujama","Private Equity",NA,"Pre-Series A"
2077,"30/06/2015","aagaar.com","Hyperlocal grocery delivery",NA,"Gurgaon","Group of Investors","Seed Funding",NA,NA
2078,"30/06/2015","Flatchat","Flat rental Mobile App",NA,"Bangalore","Commonfloor","Private Equity",2500000,"Strategic Funding"
2079,"30/06/2015","MyCFO","Wealth Management Platform",NA,"Mumbai","Sameer Koticha","Private Equity",1500000,"Series A"
2080,"01/05/2015","Foodpanda","Online Food Delivery",NA,"Gurgaon","Goldman Sachs, Rocket Internet","Private Equity",1e+08,"Series D"
2081,"01/05/2015","Termsheet","Fund Raising Platform",NA,"Chennai","Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri","Seed Funding",1e+05,NA
2082,"04/05/2015","Applicate","Workforce Management Software",NA,"Bangalore","Rishi Vasudev, Amit Gupta, Rajiv Nayan","Seed Funding",550000,NA
2083,"04/05/2015","World Art Community","Online Art Marketplace",NA,"Gurgaon","Viraj Tyagi & others","Seed Funding",2e+05,NA
2084,"04/05/2015","SpoonJoy","Online Food Delivery",NA,"Bangalore","SAIF Partners","Seed Funding",1e+06,NA
2085,"05/05/2015","Seed Schools","Affordable Education",NA,"Hyderabad","Acumen Fund","Seed Funding",650000,NA
2086,"05/05/2015","Ignis Careers","Career Development",NA,"Hyderabad","Acumen Fund","Seed Funding",250000,NA
2087,"05/05/2015","Square Yards","Real Estate Advisory",NA,"Gurgaon","Undisclosed Investors","Private Equity",6e+06,"pre-Series A"
2088,"05/05/2015","Fintellix","Banking Analytics Platform",NA,"Bangalore","IDG Ventures, Sequoia Capital","Private Equity",1.5e+07,"Series C"
2089,"05/05/2015","Customer360","Customer Engagement Platform",NA,"Mumbai","Vishwas Patel","Seed Funding",NA,NA
2090,"06/05/2015","Delhivery","Ecommerce Logistics",NA,"Gurgaon","Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet","Private Equity",8.5e+07,"Series D"
2091,"06/05/2015","Swiggy","Online Food Delivery",NA,"Bangalore","Norwest Venture Partners","Private Equity",1.5e+07,"Series B"
2092,"07/05/2015","Uniphore","Speech Recognition Solutions",NA,"Chennai","IDG Ventures, Kris Gopalakrishnan","Private Equity",NA,"Series A"
2093,"07/05/2015","Box8","Online Food Delivery",NA,"Mumbai","Mayfield Ventures","Private Equity",3500000,"Series A"
2094,"07/05/2015","Toppr","Online Education Platform",NA,"Mumbai","Fidelity Growth Partners India, SAIF Partners,  Helion Ventures","Private Equity",1e+07,"Series B"
2095,"07/05/2015","Vedantu","Online Education Platform",NA,"Bangalore","Accel Partners, Tiger Global Management","Private Equity",5e+06,"Series A"
2096,"08/05/2015","BuyHatke","Online Product Comparison",NA,"Bangalore","S.Gopalakrishnan, Beenos","Seed Funding",1e+06,NA
2097,"08/05/2015","KleverKid","Online Education Platform",NA,"New Delhi","Aarin Capital Partners","Seed Funding",NA,NA
2098,"08/05/2015","Uniken","Online Security Platform",NA,"Pune","Exfinity Ventures","Private Equity",2e+06,"Bridge Round Pre-Series B"
2099,"08/05/2015","GrandOpinion","Online Medical Diagnostic",NA,"New Delhi","Florida based Angel investor","Seed Funding",150000,NA
2100,"08/05/2015","HealthifyMe","Health & Fitness App",NA,"Bangalore","Micromax Informatics","Private Equity",NA,"Strategic Investment"
2101,"12/05/2015","ZapStitch","Cloud Data Integration Platform",NA,"Bangalore","Helion Venture Partners, Orios Venture Partners","Private Equity",2e+06,"Pre-Series A"
2102,"12/05/2015","Wassup","Mobile Laundry Cleaning Service",NA,"Chennai","Arun Chandra Mohan, Praveen Sinha","Private Equity",2e+06,"Pre-Series A"
2103,"12/05.2015","Mobiefit","Mobile Fitness App",NA,"Goa","Prototyze","Seed Funding",NA,NA
2104,"12/05.2015","Plancess","Online Education Platform",NA,"Mumbai","Rajendra Gogri,  Chandrakant Gogri","Seed Funding",2e+06,NA
2105,"12/05/2015","WorkHorse","Service-On-Demand Mobile App",NA,"Mumbai","Undisclosed Investors","Seed Funding",NA,NA
2106,"13/05/2015","Innovaccer","Intelligent Data Analytics",NA,"Noida","Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri","Seed Funding",NA,NA
2107,"13/05/2015","MyCuteOffice","Online Office Rental",NA,"Mumbai","Lead Angels","Seed Funding",NA,NA
2108,"14/05/2015","IndianRoots.com","Lifestyle Ecommerce Portal",NA,"Gurgaon","KJS Group","Private Equity",5e+06,"Series B"
2109,"14/05/2015","RedPolka","Online Fashion Aggregator",NA,"Mumbai","Undisclosed Investors","Seed Funding",250000,NA
2110,"15/05/2015","Venturesity","Online Job skills Showcase",NA,"Bangalore","Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi","Seed Funding",270000,NA
2111,"18/05/2015","TheBetterIndia.com","Online News Media",NA,"Bangalore","Mohandas Pai","Seed Funding",NA,"Pre-Series Bridge"
2112,"18/05/2015","Awaaz De","Enterprise Communication Platform",NA,"Ahmedabad","Samir Shah","Seed Funding",NA,NA
2113,"19/05/2015","Chaayos","Offline Tea Chain",NA,"New Delhi","Tiger Global Management","Private Equity",1e+06,"Series A"
2114,"19/05/2015","Akosha","Business Messaging App",NA,"New Delhi","Sequoia Capital","Private Equity",1.6e+07,"Series B"
2115,"19/05/2015","Cooey","Health Mobile App",NA,"Bangalore","Subhash Goyal","Seed Funding",470000,NA
2116,"19/05/2015","MeetUniv","Online Ed-Tech Platform",NA,"Noida","Peesh Venture Capital","Seed Funding",1e+06,NA
2117,"19/05/2015","Inspirock","Online Travel Planning",NA,NA,"MakeMyTrip Innovation Fund","Private Equity",NA,NA
2118,"19/05/2015","Crown-it","Hyperlocal Mobile Marketplace",NA,"Gurgaon","Accel Partners, Helion Venture Partners","Private Equity",5500000,"Series A"
2119,"19/05/2015","Trucksfirst","Trucking Logistic Operations",NA,"Gurgaon","SAIF partners","Private Equity",1e+07,"Series A"
2120,"20/05/2015","Lookup","B2C Messaging App",NA,"Bangalore","Biz Stone","Private Equity",3e+06,"Series A"
2121,"21/05/2015","SunTerrace","Rooftop Solar Plants",NA,"New Delhi","Sunergy Investors","Private Equity",NA,NA
2122,"22/05/2015","Nudgespot","Customer Engagement Platform",NA,"Bangalore","Kae Capital, Anoop Goyal, Mike Shah, VA Sastry","Seed Funding",625000,NA
2123,"22/05/2015","CarDekho","Online Car Portal",NA,"Jaipur","HDFC Bank","Private Equity",NA,"1% stake"
2124,"22/05/2015","EveningFlavors","Online Table Reservation",NA,"Bangalore","Sandiep Shrivatsava","Seed Funding",5e+05,NA
2125,"25/05/2015","Razorpay","Online Payment Gateway",NA,"Bangalore","Punit Soni","Seed Funding",NA,NA
2126,"25/05/2015","ZenParent","Parents focused Web Content",NA,"Bangalore","i2india Ventures","Seed Funding",5e+05,NA
2127,"25/05/2015","Newgen Payments","Payments Solution Provider",NA,"New Delhi","Jan Manten","Seed Funding",NA,NA
2128,"26/05/2015","UrbanPro","On-demand Service marketplace",NA,"Bangalore","Nirvana Venture Advisors","Private Equity",2e+06,"Series A"
2129,"26/05/2015","Goodbox","On-Demand Business messaging",NA,"Bangalore","Manipal Group","Seed Funding",2e+05,NA
2130,"26/05/2015","Renderlogy","Online Home Décor",NA,"Hyderabad","Astarc Ventures","Private Equity",1e+06,"Series A"
2131,"27/05/2015","Postman","API Workflow platform",NA,"Bangalore","Nexus Venture Partners","Seed Funding",1e+06,"Series A"
2132,"27/05/2015","Casa2inns","Affordable Hotel Booking Online",NA,"New Delhi","Accel Partners, Kalaari Capital","Private Equity",5e+06,"Series A"
2133,"27/05/2015","FleetRover","Logistics Intelligence",NA,"Goa","Tim Chen, Sanjay Venkat","Seed Funding",180000,NA
2134,"28/05/2015","TheKarrier","Last Mile Logistics",NA,"Bangalore","Sol Primero, Outbox Ventures, Nikunj Jain","Seed Funding",240000,NA
2135,"28/05/2015","Zoomcar","Self-driven Car rental",NA,"Bangalore","Sequoia Capital","Private Equity",5e+06,"Series B Interim Funding"
2136,"28/05/2015","Truweight","Weight Management Service",NA,"Hyderabad","Kalaari Capital","Private Equity",NA,"Series A"
2137,"30/05/2015","Ather Energy","Electric Scooter Manufacturer",NA,"Bangalore","Tiger Global","Private Equity",1.2e+07,"Series A"
2138,"03/04/2015","Swiggy","Online Food Delivery",NA,"Bangalore","Accel Partners, SAIF Partners","Private Equity",2e+06,"Series A"
2139,"04/04/2015","Bluegape","Web Content Publishing",NA,"Gurgaon","Rudy Gopalakrishnan, ah! Ventures","Seed Funding",2e+05,NA
2140,"04/04/2015","KeepTrax","Location Based App",NA,"Dallas / Hyderabad",NA,"Seed Funding",1e+06,NA
2141,"06/04/2015","InstaLively","Video Streaming",NA,"New Delhi","Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.","Seed Funding",120000,NA
2142,"07/04/2015","Pricejugaad","Price Comparison",NA,"Hyderabad","Amit Tyagi, Sandeep Acharya & others","Seed Funding",165000,NA
2143,"07/04/2015","Quikr","Online Classifieds",NA,"Mumbai","Tiger Global, Investment AB Kinnevik, Steadview Capital","Private Equity",1.5e+08,"Series G (Check prev funding details here)"
2144,"07/04/2015","PressPlay","Travel Entertainment",NA,"New Delhi","Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani","Seed Funding",2200000,NA
2145,"07/04/2015","LogiNext","Logistics Tech",NA,"Mumbai","Ajit Surana, Sanjay Mehta","Seed Funding",NA,NA
2146,"08/04/2015","FirstCry.com","eCommerce",NA,"Pune","Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,  SAIF Partners, Vertex Ventures","Private Equity",1e+07,"Series D ( In Feb it was announced they raised 26M, but it is 36M, so added here)"
2147,"08/04/2015","MobiKwik","Digital / Mobile Wallet",NA,"Gurgaon","Tree Line Asia, Cisco Investments, American Express, Sequoia Capital","Private Equity",2.5e+07,"Series B"
2148,"08/04/2015","Olacabs","Cab Aggregator",NA,"Bangalore","DST Global, Steadview Capital, Tiger Global, Accel Partners & Others","Private Equity",4e+08,"Series E (Updated from 315M to 400M after Press Release)"
2149,"09/04/2015","Gadgetwood","Device Repair Svcs",NA,"New Delhi","Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others","Seed Funding",2e+05,NA
2150,"09/04/2015","Bonhomia","Premium Beverages",NA,"New Delhi","Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others","Seed Funding",2e+06,NA
2151,"09/04/2015","Changer Mints","Digital / Mobile Wallet",NA,"Kolkata","Hyderabad based investor","Seed Funding",165000,NA
2152,"09/04/2015","Urban Ladder","Online FurnishingeCommerce",NA,"Bangalore","Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital","Private Equity",5e+07,"Series C"
2153,"09/04/2015","Purple Squirrel","Ed-Tech",NA,"Mumbai","Matrix Partners India, India Quotient","Private Equity",NA,"Series B"
2154,"10/04/2015","Whatfix","Interactive  How-To Guides",NA,"Bangalore","Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors","Seed Funding",9e+05,NA
2155,"10/04/2015","iMMi Life","Mobile Health Tech",NA,"Chennai","Unitus Seed Fund","Seed Funding",NA,NA
2156,"11/04/2015","Zomato","Restaurant Reviews",NA,"Gurgaon","Info Edge (India)","Private Equity",2.5e+07,"Late Stage"
2157,"13/04/2015","ZopNow","Online Grocer",NA,"Bangalore","Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet","Private Equity",1e+07,"Series B"
